Initial P,InitialDR,Optimal primary term,Total value social opt,Total value royalty only,Total value opt pri term,Lessor value royalty only,Lessor value opt pri term,Bonus royalty only,Bonus optimal primary term,Prod Social Opt,Prod royalty only,Prod opt pri term,Water Social Opt,Water royalty only,Water opt pri term 
4.47, 13064, 7.25, 0.4201, 0.3650, 0.3742, 0.3176, 0.3225, 0.1827, 0.1192, 0.3292, 0.2507, 0.2496, 8539149.3145, 2412751.8253, 2359649.8780 
6.70, 13064, 4.75, 0.6235, 0.5153, 0.5344, 0.4319, 0.4423, 0.1963, 0.1035, 0.3540, 0.2872, 0.2864, 12488156.6222, 4016217.0625, 3967026.7884 
8.93, 13064, 3.50, 0.8659, 0.6925, 0.7233, 0.5679, 0.5850, 0.2113, 0.0968, 0.3703, 0.3111, 0.3109, 16319370.7748, 5557230.6250, 5547637.7694 
